,AIRCRAFT,DESTINATION,STD_MIN,STA_MIN,ATD_MIN,Distance_km,0,1,2,3
0,E145,TIR,27913250.0,27913320.0,27913333.0,493.3062442177465,0.0,1.0,0.0,1.0
1,E145,TIR,27906064.0,27906122.0,27906064.0,493.3062442177465,0.0,1.0,0.0,1.0
2,E145,TIR,27900290.0,27900360.0,27900289.0,493.3062442177465,0.0,1.0,0.0,1.0
3,E145,TIR,27897410.0,27897480.0,27897444.0,493.3062442177465,0.0,1.0,0.0,1.0
4,E145,TIR,27890210.0,27890280.0,27890238.0,493.3062442177465,0.0,1.0,0.0,1.0
5,E145,TIR,27880130.0,27880200.0,27880147.0,493.3062442177465,0.0,1.0,0.0,1.0
6,E145,TIR,27877250.0,27877320.0,27877282.0,493.3062442177465,0.0,1.0,0.0,1.0
7,E145,TIR,27875815.0,27875867.0,27875815.0,493.3062442177465,0.0,1.0,0.0,1.0
8,E145,TIR,27870050.0,27870120.0,27870051.0,493.3062442177465,0.0,1.0,0.0,1.0
9,E145,TIR,27867170.0,27867240.0,27867180.0,493.3062442177465,0.0,1.0,0.0,1.0
10,E145,TIR,27849890.0,27849960.0,27849976.0,493.3062442177465,0.0,1.0,0.0,1.0
11,E145,TIR,27847010.0,27847080.0,27847020.0,493.3062442177465,0.0,1.0,0.0,1.0
12,E145,TIR,27836930.0,27837000.0,27836935.0,493.3062442177465,0.0,1.0,0.0,1.0
13,E145,TIR,27829730.0,27829800.0,27829803.0,493.3062442177465,0.0,1.0,0.0,1.0
14,E145,TIR,27819650.0,27819720.0,27819652.0,493.3062442177465,0.0,1.0,0.0,1.0
15,E145,TIR,27816770.0,27816840.0,27816777.0,493.3062442177465,0.0,1.0,0.0,1.0
16,E145,TIR,27809570.0,27809640.0,27809574.0,493.3062442177465,0.0,1.0,0.0,1.0
17,E145,TIR,27806690.0,27806760.0,27806702.0,493.3062442177465,0.0,1.0,0.0,1.0
18,E145,TIR,27799490.0,27799560.0,27799497.0,493.3062442177465,0.0,1.0,0.0,1.0
19,E145,TIR,27796610.0,27796680.0,27796614.0,493.3062442177465,0.0,1.0,0.0,1.0
20,E145,TIR,27795170.0,27795240.0,27795184.0,493.3062442177465,0.0,1.0,0.0,1.0
21,E145,TIR,27792290.0,27792360.0,27792282.0,493.3062442177465,0.0,1.0,0.0,1.0
22,E145,TIR,27789410.0,27789480.0,27789407.0,493.3062442177465,0.0,1.0,0.0,1.0
23,E145,TIR,27786530.0,27786600.0,27786532.0,493.3062442177465,0.0,1.0,0.0,1.0
24,E145,TIR,27785090.0,27785160.0,27785139.0,493.3062442177465,0.0,1.0,0.0,1.0
25,E145,TIR,27769250.0,27769320.0,27769251.0,493.3062442177465,0.0,1.0,0.0,1.0
26,E145,TIR,27759170.0,27759240.0,27759163.0,493.3062442177465,0.0,1.0,0.0,1.0
27,E145,TIR,27756290.0,27756360.0,27756384.0,493.3062442177465,0.0,1.0,0.0,1.0
28,E145,TIR,27739010.0,27739080.0,27739008.0,493.3062442177465,0.0,1.0,0.0,1.0
29,E145,TIR,27728930.0,27729000.0,27728930.0,493.3062442177465,0.0,1.0,0.0,1.0
30,E145,TIR,27726050.0,27726120.0,27726035.0,493.3062442177465,0.0,1.0,0.0,1.0
31,E145,TIR,27718850.0,27718920.0,27718858.0,493.3062442177465,0.0,1.0,0.0,1.0
32,E145,TIR,27715970.0,27716040.0,27715968.0,493.3062442177465,0.0,1.0,0.0,1.0
33,E145,TIR,27708770.0,27708840.0,27708754.0,493.3062442177465,0.0,1.0,0.0,1.0
34,E145,TIR,27705890.0,27705960.0,27705888.0,493.3062442177465,0.0,1.0,0.0,1.0
35,E145,TIR,27698690.0,27698760.0,27698675.0,493.3062442177465,0.0,1.0,0.0,1.0
36,E145,TIR,27695810.0,27695880.0,27695808.0,493.3062442177465,0.0,1.0,0.0,1.0
37,E145,TIR,27688610.0,27688680.0,27688612.0,493.3062442177465,0.0,1.0,0.0,1.0
38,E145,TIR,27685730.0,27685800.0,27685724.0,493.3062442177465,0.0,1.0,0.0,1.0
39,E145,TIR,27678530.0,27678600.0,27678612.0,493.3062442177465,0.0,1.0,0.0,1.0
40,E145,TIR,27675650.0,27675720.0,27675644.0,493.3062442177465,0.0,1.0,0.0,1.0
41,E145,TIR,27674210.0,27674280.0,27674217.0,493.3062442177465,0.0,1.0,0.0,1.0
42,E145,TIR,27670017.0,27670013.0,27669964.0,493.3062442177465,0.0,1.0,0.0,1.0
43,E145,TIR,27665570.0,27665640.0,27665573.0,493.3062442177465,0.0,1.0,0.0,1.0
44,E145,TIR,27658370.0,27658440.0,27658360.0,493.3062442177465,0.0,1.0,0.0,1.0
45,E145,TIR,27655490.0,27655560.0,27655484.0,493.3062442177465,0.0,1.0,0.0,1.0
46,E145,TIR,27648290.0,27648360.0,27648281.0,493.3062442177465,0.0,1.0,0.0,1.0
47,E145,TIR,27645410.0,27645480.0,27645417.0,493.3062442177465,0.0,1.0,0.0,1.0
48,E145,TIR,27638210.0,27638280.0,27638209.0,493.3062442177465,0.0,1.0,0.0,1.0
49,E145,TIR,27635330.0,27635400.0,27635332.0,493.3062442177465,0.0,1.0,0.0,1.0
50,E145,TIR,27628130.0,27628200.0,27628123.0,493.3062442177465,0.0,1.0,0.0,1.0
51,E145,TIR,27625250.0,27625320.0,27625294.0,493.3062442177465,0.0,1.0,0.0,1.0
52,E145,TIR,27618050.0,27618120.0,27618036.0,493.3062442177465,0.0,1.0,0.0,1.0
53,E145,TIR,27615170.0,27615240.0,27615176.0,493.3062442177465,0.0,1.0,0.0,1.0
54,E145,TIR,27607970.0,27608040.0,27607975.0,493.3062442177465,0.0,1.0,0.0,1.0
55,E145,TIR,27597890.0,27597960.0,27597994.0,493.3062442177465,0.0,1.0,0.0,1.0
56,E145,TIR,27595010.0,27595080.0,27595023.0,493.3062442177465,0.0,1.0,0.0,1.0
57,E145,TIR,27587810.0,27587880.0,27587813.0,493.3062442177465,0.0,1.0,0.0,1.0
58,E145,TIR,27580610.0,27580680.0,27580601.0,493.3062442177465,0.0,1.0,0.0,1.0
59,E145,TIR,27577730.0,27577800.0,27577728.0,493.3062442177465,0.0,1.0,0.0,1.0
60,E145,TIR,27574850.0,27574920.0,27574841.0,493.3062442177465,0.0,1.0,0.0,1.0
61,E145,TIR,27573410.0,27573480.0,27573452.0,493.3062442177465,0.0,1.0,0.0,1.0
62,E145,TIR,27570530.0,27570600.0,27570523.0,493.3062442177465,0.0,1.0,0.0,1.0
63,E145,TIR,27564770.0,27564840.0,27564766.0,493.3062442177465,0.0,1.0,0.0,1.0
64,E145,TIR,27560450.0,27560520.0,27560491.0,493.3062442177465,0.0,1.0,0.0,1.0
65,E145,TIR,27557570.0,27557640.0,27557610.0,493.3062442177465,0.0,1.0,0.0,1.0
66,E145,TIR,27554690.0,27554760.0,27554712.0,493.3062442177465,0.0,1.0,0.0,1.0
67,E145,TIR,27553250.0,27553320.0,27553295.0,493.3062442177465,0.0,1.0,0.0,1.0
68,E145,TIR,27550370.0,27550440.0,27550374.0,493.3062442177465,0.0,1.0,0.0,1.0
69,E145,TIR,27547490.0,27547560.0,27547508.0,493.3062442177465,0.0,1.0,0.0,1.0
70,E145,TIR,27544610.0,27544680.0,27544617.0,493.3062442177465,0.0,1.0,0.0,1.0
71,E145,TIR,27543170.0,27543240.0,27543181.0,493.3062442177465,0.0,1.0,0.0,1.0
72,E145,TIR,27540290.0,27540360.0,27540274.0,493.3062442177465,0.0,1.0,0.0,1.0
73,E145,TIR,27537410.0,27537480.0,27537404.0,493.3062442177465,0.0,1.0,0.0,1.0
74,E145,TIR,27534530.0,27534600.0,27534552.0,493.3062442177465,0.0,1.0,0.0,1.0
75,E145,TIR,27533090.0,27533160.0,27533083.0,493.3062442177465,0.0,1.0,0.0,1.0
76,E145,TIR,27530210.0,27530280.0,27530278.0,493.3062442177465,0.0,1.0,0.0,1.0
77,E145,TIR,27527330.0,27527400.0,27527308.0,493.3062442177465,0.0,1.0,0.0,1.0
78,E145,TIR,27524450.0,27524520.0,27524438.0,493.3062442177465,0.0,1.0,0.0,1.0
79,E145,TIR,27523010.0,27523080.0,27523005.0,493.3062442177465,0.0,1.0,0.0,1.0
80,E145,TIR,27520130.0,27520200.0,27520115.0,493.3062442177465,0.0,1.0,0.0,1.0
81,E145,TIR,27517250.0,27517320.0,27517251.0,493.3062442177465,0.0,1.0,0.0,1.0
82,E145,TIR,27514370.0,27514440.0,27514363.0,493.3062442177465,0.0,1.0,0.0,1.0
83,E145,TIR,27512930.0,27513000.0,27512963.0,493.3062442177465,0.0,1.0,0.0,1.0
84,E145,TIR,27510050.0,27510120.0,27510039.0,493.3062442177465,0.0,1.0,0.0,1.0
85,E145,TIR,27507170.0,27507240.0,27507174.0,493.3062442177465,0.0,1.0,0.0,1.0
86,E145,TIR,27504290.0,27504360.0,27504284.0,493.3062442177465,0.0,1.0,0.0,1.0
87,E145,TIR,27502850.0,27502920.0,27502835.0,493.3062442177465,0.0,1.0,0.0,1.0
88,E145,TIR,27499970.0,27500040.0,27499985.0,493.3062442177465,0.0,1.0,0.0,1.0
89,E145,TIR,27497090.0,27497160.0,27497092.0,493.3062442177465,0.0,1.0,0.0,1.0
90,E145,TIR,27494210.0,27494280.0,27494203.0,493.3062442177465,0.0,1.0,0.0,1.0
91,E145,TIR,27492770.0,27492840.0,27492765.0,493.3062442177465,0.0,1.0,0.0,1.0
92,E145,TIR,27489890.0,27489960.0,27489878.0,493.3062442177465,0.0,1.0,0.0,1.0
93,E145,TIR,27487010.0,27487080.0,27487010.0,493.3062442177465,0.0,1.0,0.0,1.0
94,E145,TIR,27484130.0,27484200.0,27484123.0,493.3062442177465,0.0,1.0,0.0,1.0
95,E145,TIR,27482690.0,27482760.0,27482685.0,493.3062442177465,0.0,1.0,0.0,1.0
96,E145,TIR,27479810.0,27479880.0,27479800.0,493.3062442177465,0.0,1.0,0.0,1.0
97,E145,TIR,27474050.0,27474120.0,27474041.0,493.3062442177465,0.0,1.0,0.0,1.0
98,E145,TIR,27472610.0,27472680.0,27472590.0,493.3062442177465,0.0,1.0,0.0,1.0
99,E145,TIR,27469730.0,27469800.0,27469715.0,493.3062442177465,0.0,1.0,0.0,1.0
100,E145,TIR,27466850.0,27466920.0,27466856.0,493.3062442177465,0.0,1.0,0.0,1.0
101,E145,TIR,27463970.0,27464040.0,27463953.0,493.3062442177465,0.0,1.0,0.0,1.0
102,E145,TIR,27462530.0,27462600.0,27462532.0,493.3062442177465,0.0,1.0,0.0,1.0
103,E145,TIR,27459650.0,27459720.0,27459634.0,493.3062442177465,0.0,1.0,0.0,1.0
104,E145,TIR,27456770.0,27456840.0,27456778.0,493.3062442177465,0.0,1.0,0.0,1.0
105,E145,TIR,27453890.0,27453960.0,27453891.0,493.3062442177465,0.0,1.0,0.0,1.0
106,E145,TIR,27452450.0,27452520.0,27452457.0,493.3062442177465,0.0,1.0,0.0,1.0
107,E145,TIR,27449570.0,27449640.0,27449572.0,493.3062442177465,0.0,1.0,0.0,1.0
108,E145,TIR,27446690.0,27446760.0,27446700.0,493.3062442177465,0.0,1.0,0.0,1.0
109,E145,TIR,27443810.0,27443880.0,27443812.0,493.3062442177465,0.0,1.0,0.0,1.0
110,E145,TIR,27442370.0,27442440.0,27442373.0,493.3062442177465,0.0,1.0,0.0,1.0
111,E145,TIR,27439490.0,27439560.0,27439596.0,493.3062442177465,0.0,1.0,0.0,1.0
112,E145,TIR,27436610.0,27436680.0,27436611.0,493.3062442177465,0.0,1.0,0.0,1.0
113,E145,TIR,27433730.0,27433800.0,27433752.0,493.3062442177465,0.0,1.0,0.0,1.0
114,E145,TIR,27432290.0,27432360.0,27432314.0,493.3062442177465,0.0,1.0,0.0,1.0
115,E145,TIR,27426530.0,27426600.0,27426525.0,493.3062442177465,0.0,1.0,0.0,1.0
116,E145,TIR,27423650.0,27423720.0,27423648.0,493.3062442177465,0.0,1.0,0.0,1.0
117,E145,TIR,27422210.0,27422280.0,27422203.0,493.3062442177465,0.0,1.0,0.0,1.0
118,E145,TIR,27416450.0,27416520.0,27416565.0,493.3062442177465,0.0,1.0,0.0,1.0
119,E145,TIR,27413570.0,27413640.0,27413566.0,493.3062442177465,0.0,1.0,0.0,1.0
120,E145,TIR,27412130.0,27412200.0,27412122.0,493.3062442177465,0.0,1.0,0.0,1.0
121,E145,TIR,27409250.0,27409320.0,27409255.0,493.3062442177465,0.0,1.0,0.0,1.0
122,E145,TIR,27406370.0,27406440.0,27406384.0,493.3062442177465,0.0,1.0,0.0,1.0
123,E145,TIR,27403490.0,27403560.0,27403484.0,493.3062442177465,0.0,1.0,0.0,1.0
124,E145,TIR,27402050.0,27402120.0,27402060.0,493.3062442177465,0.0,1.0,0.0,1.0
125,E145,TIR,27399170.0,27399240.0,27399177.0,493.3062442177465,0.0,1.0,0.0,1.0
126,E145,TIR,27396290.0,27396360.0,27396294.0,493.3062442177465,0.0,1.0,0.0,1.0
127,E145,TIR,27393410.0,27393480.0,27393413.0,493.3062442177465,0.0,1.0,0.0,1.0
128,E145,TIR,27391970.0,27392040.0,27392001.0,493.3062442177465,0.0,1.0,0.0,1.0
129,E145,BLR,27913440.0,27913500.0,27913549.0,463.8928171403542,0.0,1.0,1.0,0.0
130,E145,BLR,27906240.0,27906300.0,27906262.0,463.8928171403542,0.0,1.0,1.0,0.0
131,E145,BLR,27903174.0,27903237.0,27903174.0,463.8928171403542,0.0,1.0,1.0,0.0
132,E145,BLR,27900480.0,27900540.0,27900479.0,463.8928171403542,0.0,1.0,1.0,0.0
133,E145,BLR,27897600.0,27897660.0,27897632.0,463.8928171403542,0.0,1.0,1.0,0.0
134,E145,BLR,27896160.0,27896220.0,27895980.0,463.8928171403542,0.0,1.0,1.0,0.0
135,E145,BLR,27893097.0,27893151.0,27893097.0,463.8928171403542,0.0,1.0,1.0,0.0
136,E145,BLR,27891807.0,27891855.0,27891807.0,463.8928171403542,0.0,1.0,1.0,0.0
137,E145,BLR,27890400.0,27890460.0,27890430.0,463.8928171403542,0.0,1.0,1.0,0.0
138,E145,BLR,27886080.0,27886140.0,27886057.0,463.8928171403542,0.0,1.0,1.0,0.0
139,E145,BLR,27883200.0,27883260.0,27883170.0,463.8928171403542,0.0,1.0,1.0,0.0
140,E145,BLR,27881920.0,27881985.0,27881918.0,463.8928171403542,0.0,1.0,1.0,0.0
141,E145,BLR,27880320.0,27880380.0,27880337.0,463.8928171403542,0.0,1.0,1.0,0.0
142,E145,BLR,27879040.0,27879105.0,27879030.0,463.8928171403542,0.0,1.0,1.0,0.0
143,E145,BLR,27877440.0,27877500.0,27877477.0,463.8928171403542,0.0,1.0,1.0,0.0
144,E145,BLR,27876000.0,27876060.0,27875995.0,463.8928171403542,0.0,1.0,1.0,0.0
145,E145,BLR,27874720.0,27874785.0,27874749.0,463.8928171403542,0.0,1.0,1.0,0.0
146,E145,BLR,27873120.0,27873180.0,27873077.0,463.8928171403542,0.0,1.0,1.0,0.0
147,E145,BLR,27871840.0,27871905.0,27871750.0,463.8928171403542,0.0,1.0,1.0,0.0
148,E145,BLR,27870240.0,27870300.0,27870251.0,463.8928171403542,0.0,1.0,1.0,0.0
149,E145,BLR,27868960.0,27869025.0,27868952.0,463.8928171403542,0.0,1.0,1.0,0.0
150,E145,BLR,27867360.0,27867420.0,27867375.0,463.8928171403542,0.0,1.0,1.0,0.0
151,E145,BLR,27865920.0,27865980.0,27865877.0,463.8928171403542,0.0,1.0,1.0,0.0
152,E145,BLR,27864640.0,27864705.0,27864638.0,463.8928171403542,0.0,1.0,1.0,0.0
153,E145,BLR,27863040.0,27863100.0,27863043.0,463.8928171403542,0.0,1.0,1.0,0.0
154,E145,BLR,27861629.0,27861629.0,27861581.0,463.8928171403542,0.0,1.0,1.0,0.0
155,E145,BLR,27860040.0,27860040.0,27859976.0,463.8928171403542,0.0,1.0,1.0,0.0
156,E145,BLR,27858880.0,27858945.0,27858971.0,463.8928171403542,0.0,1.0,1.0,0.0
157,E145,BLR,27857160.0,27857160.0,27857096.0,463.8928171403542,0.0,1.0,1.0,0.0
158,E145,BLR,27855840.0,27855900.0,27855808.0,463.8928171403542,0.0,1.0,1.0,0.0
159,E145,BLR,27854270.0,27854270.0,27854219.0,463.8928171403542,0.0,1.0,1.0,0.0
160,E145,BLR,27851516.0,27851516.0,27851464.0,463.8928171403542,0.0,1.0,1.0,0.0
161,E145,BLR,27850080.0,27850140.0,27850152.0,463.8928171403542,0.0,1.0,1.0,0.0
162,E145,BLR,27848639.0,27848639.0,27848589.0,463.8928171403542,0.0,1.0,1.0,0.0
163,E145,BLR,27847200.0,27847260.0,27847221.0,463.8928171403542,0.0,1.0,1.0,0.0
164,E145,BLR,27845760.0,27845820.0,27845909.0,463.8928171403542,0.0,1.0,1.0,0.0
165,E145,BLR,27844480.0,27844545.0,27844506.0,463.8928171403542,0.0,1.0,1.0,0.0
166,E145,BLR,27842880.0,27842940.0,27842907.0,463.8928171403542,0.0,1.0,1.0,0.0
167,E145,BLR,27841600.0,27841665.0,27841634.0,463.8928171403542,0.0,1.0,1.0,0.0
168,E145,BLR,27839938.0,27839938.0,27839887.0,463.8928171403542,0.0,1.0,1.0,0.0
169,E145,BLR,27837120.0,27837180.0,27837138.0,463.8928171403542,0.0,1.0,1.0,0.0
170,E145,BLR,27835680.0,27835740.0,27835681.0,463.8928171403542,0.0,1.0,1.0,0.0
171,E145,BLR,27834400.0,27834465.0,27834476.0,463.8928171403542,0.0,1.0,1.0,0.0
172,E145,BLR,27832800.0,27832860.0,27832848.0,463.8928171403542,0.0,1.0,1.0,0.0
173,E145,BLR,27831391.0,27831391.0,27831331.0,463.8928171403542,0.0,1.0,1.0,0.0
174,E145,BLR,27829920.0,27829980.0,27829995.0,463.8928171403542,0.0,1.0,1.0,0.0
175,E145,BLR,27828640.0,27828705.0,27828754.0,463.8928171403542,0.0,1.0,1.0,0.0
176,E145,BLR,27826917.0,27826917.0,27826851.0,463.8928171403542,0.0,1.0,1.0,0.0
177,E145,BLR,27825600.0,27825660.0,27825579.0,463.8928171403542,0.0,1.0,1.0,0.0
178,E145,BLR,27824320.0,27824385.0,27824326.0,463.8928171403542,0.0,1.0,1.0,0.0
179,E145,BLR,27822720.0,27822780.0,27822576.0,463.8928171403542,0.0,1.0,1.0,0.0
180,E145,BLR,27821182.0,27821182.0,27821128.0,463.8928171403542,0.0,1.0,1.0,0.0
181,E145,BLR,27819840.0,27819900.0,27819855.0,463.8928171403542,0.0,1.0,1.0,0.0
182,E145,BLR,27818560.0,27818625.0,27818585.0,463.8928171403542,0.0,1.0,1.0,0.0
183,E145,BLR,27816960.0,27817020.0,27816977.0,463.8928171403542,0.0,1.0,1.0,0.0
184,E145,BLR,27815520.0,27815580.0,27815489.0,463.8928171403542,0.0,1.0,1.0,0.0
185,E145,BLR,27814240.0,27814305.0,27814235.0,463.8928171403542,0.0,1.0,1.0,0.0
186,E145,BLR,27812640.0,27812700.0,27812618.0,463.8928171403542,0.0,1.0,1.0,0.0
187,E145,BLR,27811225.0,27811225.0,27811174.0,463.8928171403542,0.0,1.0,1.0,0.0
188,E145,BLR,27809760.0,27809820.0,27809764.0,463.8928171403542,0.0,1.0,1.0,0.0
189,E145,BLR,27808480.0,27808545.0,27808484.0,463.8928171403542,0.0,1.0,1.0,0.0
190,E145,BLR,27806880.0,27806940.0,27806886.0,463.8928171403542,0.0,1.0,1.0,0.0
191,E145,BLR,27805309.0,27805309.0,27805250.0,463.8928171403542,0.0,1.0,1.0,0.0
192,E145,BLR,27804160.0,27804225.0,27804170.0,463.8928171403542,0.0,1.0,1.0,0.0
193,E145,BLR,27802441.0,27802441.0,27802375.0,463.8928171403542,0.0,1.0,1.0,0.0
194,E145,BLR,27801280.0,27801345.0,27801290.0,463.8928171403542,0.0,1.0,1.0,0.0
195,E145,BLR,27799735.0,27799735.0,27799683.0,463.8928171403542,0.0,1.0,1.0,0.0
196,E145,BLR,27798104.0,27798104.0,27798054.0,463.8928171403542,0.0,1.0,1.0,0.0
197,E145,BLR,27796860.0,27796860.0,27796801.0,463.8928171403542,0.0,1.0,1.0,0.0
198,E145,BLR,27795438.0,27795438.0,27795382.0,463.8928171403542,0.0,1.0,1.0,0.0
199,E145,BLR,27794080.0,27794145.0,27794120.0,463.8928171403542,0.0,1.0,1.0,0.0
200,E145,BLR,27792541.0,27792541.0,27792490.0,463.8928171403542,0.0,1.0,1.0,0.0
201,E145,BLR,27790933.0,27790933.0,27790880.0,463.8928171403542,0.0,1.0,1.0,0.0
202,E145,BLR,27789669.0,27789669.0,27789614.0,463.8928171403542,0.0,1.0,1.0,0.0
203,E145,BLR,27788320.0,27788385.0,27788322.0,463.8928171403542,0.0,1.0,1.0,0.0
